13401,18202
26237,31041
40412,44873
55110,59880
69532,74148
83120,87483
97947,102486
113195,117548
126413,130724
141722,146261
155193,159612
168709,173424
182928,187535
193306,200381
209104,213480
221159,225709
234615,239050
247442,251722
260017,264768
272917,277480
285766,290241
299862,304128
313250,317924
327118,331365
339892,344071
352136,356285
363726,367953
375986,380252
388338,392861
400859,405478
412722,417550
426392,430402
438877,443449
451888,456559
463940,468741
475894,480457
489211,493055
